timestamp,latitude,longitude,heading,speed_mps,battery_percent
2026-08-17T04:00:00Z,-31.9813309,115.8159721,82,0.00,76
2026-08-17T04:00:05Z,-31.9813065,115.8161048,81,0.92,76
2026-08-17T04:00:10Z,-31.9812822,115.8162416,80,1.18,76
2026-08-17T04:00:15Z,-31.9812604,115.8163810,78,1.24,75
2026-08-17T04:00:20Z,-31.9812411,115.8165235,76,1.31,75
2026-08-17T04:00:25Z,-31.9812230,115.8166687,74,1.36,75
2026-08-17T04:00:30Z,-31.9812107,115.8168151,71,1.29,75
2026-08-17T04:00:35Z,-31.9812054,115.8169602,66,1.12,74
2026-08-17T04:00:40Z,-31.9812135,115.8171028,54,0.98,74
2026-08-17T04:00:45Z,-31.9812359,115.8172362,41,0.85,74
2026-08-17T04:00:50Z,-31.9812726,115.8173501,28,0.64,74
2026-08-17T04:00:55Z,-31.9813238,115.8174300,15,0.28,74
